"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"J2","Switch_power","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",202.195000,-102.08000,-90.000000,top
"J3","Rpi","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",107.055000,-44.74000,90.000000,top
"J4","DE9_Receptacle_MountingHoles","DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm",211.410000,-90.865000,90.000000,top
"J6","Rpi","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",107.055000,-56.67000,90.000000,top
"J7","Rpi","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",93.725000,-44.74000,-90.000000,top
"J8","Rpi","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",93.725000,-56.67000,-90.000000,top
"J9","Conn_01x02_Socket","PinHeader_1x02_P2.54mm_Vertical",101.250000,-85.750000,90.000000,top

